"staff_id","hospital_id","department_id","staff_first_name","staff_last_name","specialization","employee_type"
S1                  ,H1                  ,D1                  ,James,Anderson,Pathologist,Doctor
S2                  ,H1                  ,D1                  ,Hannah,Mitchell,Lab Technician,Technician
S3                  ,H1                  ,D5                  ,Evan,Ward,Radiologist,Doctor
S4                  ,H1                  ,D5                  ,Jessica,Brooks,Imaging Technician,Technician
S5                  ,H1                  ,D1                  ,Michael,Harris,Pathologist,Doctor
S6                  ,H1                  ,D1                  ,Rachel,Parker,Lab Technician,Technician
S7                  ,H1                  ,D5                  ,Christopher,Evans,Radiologist,Doctor
S8                  ,H1                  ,D5                  ,Olivia,Jenkins,Imaging Technician,Technician
S9                  ,H1                  ,D1                  ,Jonathan,Scott,Pathologist,Doctor
S10                 ,H1                  ,D1                  ,Elizabeth,Garcia,Lab Technician,Technician
S11                 ,H1                  ,D3                  ,John,Walker,General Surgeon,Doctor
S12                 ,H1                  ,D3                  ,Megan,Gonzalez,Surgical Nurse,Nurse
S13                 ,H1                  ,D2                  ,Daniel,Clark,Anesthesiologist,Doctor
S14                 ,H1                  ,D2                  ,Emily,Young,Nurse Anesthetist,Nurse
S15                 ,H1                  ,D3                  ,Alexander,Hernandez,General Surgeon,Doctor
S16                 ,H1                  ,D3                  ,Madison,Lopez,Surgical Assistant,Technician
S17                 ,H1                  ,D3                  ,Gabriel,Hill,General Surgeon,Doctor
S18                 ,H1                  ,D3                  ,Samantha,Scott,Surgical Nurse,Nurse
S19                 ,H1                  ,D4                  ,Aaron,Rivera,Critical Care Physician,Doctor
S20                 ,H1                  ,D4                  ,Katherine,Cooper,Neurologist,Doctor
S21                 ,H1                  ,D4                  ,Jordan,Gray,Critical Care Physician,Doctor
S22                 ,H1                  ,D4                  ,Alyssa,Ramirez,Neurologist,Doctor
S23                 ,H1                  ,D3                  ,Isaac,Nelson,ICU Nurse,Nurse
S24                 ,H1                  ,D3                  ,Sophia,Lee,ICU Nurse,Nurse
S25                 ,H1                  ,D3                  ,Ethan,Carter,ICU Nurse,Nurse
S26                 ,H1                  ,D3                  ,Isabella,Martinez,ICU Nurse,Nurse
S27                 ,H1                  ,D3                  ,Jose,Carter,General Ward Nurse,Nurse
S28                 ,H1                  ,D3                  ,Brianna,Howard,Physical Therapist,Therapist
S29                 ,H1                  ,D3                  ,Kevin,Bailey,General Ward Nurse,Nurse
S30                 ,H1                  ,D3                  ,Amber,Watson,Physical Therapist,Therapist
S31                 ,H1                  ,D1                  ,David,Hughes,Lab Technician,Technician
S32                 ,H1                  ,D1                  ,Jennifer,Torres,Pathologist,Doctor
S33                 ,H1                  ,D5                  ,Brandon,Murphy,Radiologist,Doctor
S34                 ,H1                  ,D5                  ,Melissa,Bell,Imaging Technician,Technician
S35                 ,H1                  ,D2                  ,Zachary,Reed,Anesthesiologist,Doctor
S36                 ,H1                  ,D2                  ,Lauren,Cooper,Nurse Anesthetist,Nurse
S37                 ,H1                  ,D3                  ,Samuel,Baker,General Surgeon,Doctor
S38                 ,H1                  ,D3                  ,Natalie,Evans,Surgical Assistant,Technician
S39                 ,H1                  ,D3                  ,Andrew,Wright,Surgical Nurse,Nurse
S40                 ,H1                  ,D4                  ,Jessica,Diaz,Critical Care Physician,Doctor
